x,y,marker,order
2652,8544,1.315866095,1936
2688,9129,1.169091607,1946
2836,9647,1.130128872,2540
2999,10148,1.346338105,2623
3240,10559,1.188340161,2681
3521,10978,1.453877737,2733
3879,11458,1.049385757,5771
4051,11612,1.41642568,5824
4261,11783,1.547649693,5901
4504,11966,1.650270281,5984
4774,12203,1.3849147,6096
5031,12479,1.026143765,6165
5412,12792,1.414514963,6253
5751,13037,1.423327109,9752
6040,13334,2.000158705,9847
6259,13465,1.477750192,9928
6518,13797,1.179577531,10048
6868,14093,1.140742496,10176
7134,14527,1.290338322,10275
7428,14505,1.779068,13435
7679,14839,1.15818827,14195
8041,14738,1.941401217,13705
8606,14864,2.044549544,14474
8851,14950,1.802504365,14561
9213,14873,1.559922327,14740
9519,14827,1.496542024,18267
9846,14772,1.304555118,18368
10298,14646,1.595088819,17953
10641,14492,1.03117118,18032
11005,14311,1.520936137,18148
11347,13956,1.525204086,21961
11712,13681,1.141449839,22065
12055,13591,1.006206979,22168
12292,13518,1.009882688,22248
12669,13252,1.077328966,22364
12900,13074,1.305629272,22439
13270,12961,1.632679,25440
13662,12715,1.314843629,25086
13960,12491,1.017300562,25149
14118,12278,2.224081388,25185
14303,11994,1.143961049,25242
14510,11640,1.973770479,25302
14752,11105,1.229270079,27242
14866,10551,1.112714806,26824
15012,9848,1.060503665,26852
15146,9237,1.051476297,26865
15001,7975,1.383256341,26497
14734,7326,1.198385434,23806
14488,6644,1.752250634,23773
14229,5976,1.114378594,23733
13965,5755,1.226093441,23700
13720,5500,1.038829902,23226
13315,5055,1.060355333,23167
12979,4712,1.034765448,23081
12736,4403,1.066928175,19823
12339,4206,1.078769279,19730
12159,3913,2.250132556,19682
11710,3708,1.249270932,19572
11369,3619,1.170045228,19093
10850,3518,1.018858151,15589
10468,3355,1.50130557,15515
10002,3248,1.147241715,15412
9611,3204,1.234874965,15334
9226,3293,2.064623586,15240
8820,3208,1.32787334,11284
8393,3282,1.643800599,11204
7832,3253,1.015145087,11088
7564,3256,1.809417522,11048
7271,3367,1.003047715,7291
6708,3434,1.143657437,7187
6401,3606,1.360534052,7137
5940,3781,1.332277675,7424
5605,3928,1.083774759,7316
5320,4049,1.284325144,4155
4951,4237,1.469295952,4080
4523,4699,1.027040269,3961
4218,4784,1.682489691,3867
3875,4875,1.121198148,3755
3687,5274,2.14718881,1286
3394,5514,1.129446287,1242
3129,5782,1.009937851,1552
2938,6286,1.261853259,1522
2587,6898,1.416549471,1466
2331,7228,1.643362337,1408
2082,7508,1.196495349,1753
2014,8204,1.153645158,1738
2005,8777,2.277964136,1739
2116,9513,2.35627531,2338
2216,9992,1.107839415,2382
2321,10406,1.612664464,2408
2494,10817,2.457475131,2453
2820,11095,1.063113472,2996
3059,11452,1.15472561,3073
3393,11836,1.745738385,3186
3621,12366,1.22664724,3297
4084,12635,2.084625524,5842
4544,12907,1.778962887,6005
5008,13334,1.093289036,6580
5249,13527,1.219150097,6668
5572,13793,1.787315054,9708
5936,14212,1.507728776,9820
6353,14650,1.234124404,9969
6793,14916,1.713565016,10511
7289,15058,1.888822831,10606
7822,15398,1.72414715,14233
8274,15569,1.015739282,14363
8699,15572,1.406388225,14505
9288,15587,1.457170998,18171
9625,15549,1.324497551,18310
10192,15423,1.403188349,18464
10562,15280,1.328952272,18586
11108,15083,1.496367849,22453
11414,14993,1.784921336,22554
11933,14914,1.132265236,22696
12423,14886,1.413443415,22767
12685,14483,1.192779245,22383
12966,14166,1.016165165,25366
13348,13841,1.698831341,25455
13739,13543,1.308071203,25520
14192,13275,1.127274089,25655
14410,13046,1.028461905,25737
14741,12649,1.062395705,25354
15145,12135,1.543481211,27331
15401,11690,1.621194281,27381
15690,11253,1.318041768,27413
16044,11064,4.036762208,27459
16405,10717,1.768140556,27197
16602,10207,1.638170086,28266
16725,9688,1.237276501,28292
16706,8682,1.358771014,28005
16592,7824,1.927939326,26774
16415,7460,2.487428958,26730
16252,7055,1.212868054,26426
15977,6343,1.210927801,26398
15746,5866,1.135662959,26371
15522,5536,1.540640979,26335
15271,5093,1.565868614,26043
14850,4744,1.250842202,25982
14446,4038,1.508533198,23330
14210,3583,1.341438172,23016
13861,3209,1.050254245,22975
13478,3019,1.02751936,22926
13078,3070,1.117846248,22874
12671,2753,1.042334911,19320
12018,2517,1.32509522,19209
11564,2431,1.306400248,19133
11182,2553,1.455775858,19054
10783,2629,2.570113194,15579
10299,2794,1.346410207,15470
9802,2597,2.209386804,15376
9535,2457,1.121894632,15309
9081,2347,1.869827721,11328
8657,2562,1.218448834,11251
8216,2687,2.135327073,11169
7764,2698,2.551588923,11070
7513,2738,1.108665554,11037
7178,2608,1.251212922,7270
6852,2609,1.267630801,7215
6390,2813,1.109369639,7133
6079,2857,1.318047414,7093
5710,3107,1.061258135,7048
5444,3335,1.04167122,3690
5109,3369,2.029878849,3642
4729,3520,1.924479273,3615
4430,3795,1.156329023,3927
4135,3942,1.480255103,3822
3793,4207,1.476459296,3728
3512,4546,1.752470416,1251
3327,4780,1.383415749,1227
3098,4874,1.084388716,1205
2757,5003,1.069219819,1147
2583,5242,1.262324314,1121
2261,5603,1.566168752,1388
2051,5937,1.235391628,1346
1929,6380,1.161415727,1320
1745,6853,1.443853746,308
1563,7411,2.242047951,471
1268,8058,2.094777214,329
1263,8912,1.510736234,330
1322,9531,1.876210099,522
1518,10196,1.50038257,580
1597,10672,1.164386265,624
1815,11012,1.116265205,678
2129,11432,1.380945585,2836
2490,12043,1.021192362,2939
2903,12448,1.402572003,3024
3202,12742,1.045714609,3128
3797,13250,1.065300004,6312
4270,13768,1.684669273,6431
4583,13960,1.06169466,6502
4996,14258,2.043914955,6579
5507,14708,1.346590463,6762
5828,14988,1.282807516,10419
6175,15254,1.126598888,10465
6528,15407,2.591732228,10496
7133,15678,1.765466682,10553
7452,15832,1.381050264,14140
7674,15938,1.554282692,14201
8060,16131,2.106277569,14302
8408,16296,1.377134141,14406
8838,16389,1.203754902,14577
